a1,a2,a3,a4,a5,a6,a7,n1,n2,t_half_Lead,v_max_Lead,t_half_Lagg,v_max_Lagg,LeadRecruitError,LaggRecruitError,CytoError,LeadRecoveryError,LaggRecoveryError,mmh
0.6978522458,0.578100371,0.9228225219,2.637508469,1.521451566,0.002729551863,4.93E-10,1.032299027,1.066348488,10.96580942,1.193597704,12.63973829,1.166038691,0.2155665867,0.08786833958,0.2125444128,2.128135875,1.523911572,1
0.6323483848,0.5466510877,1.328187777,1.94220452,0.513905625,0.003019751309,0.0004396391674,1.063397256,1.180683225,12.24172991,1.21012744,13.4203335,1.194425629,0.1086974964,0.1588307651,0.2154643721,1.632911792,1.515151559,1
0.5432705037,0.681680201,0.9464228207,1.119666843,382996835455,0.009728334536,0.008899742893,1.105293211,1.03482502,14.45097896,1.23609687,11.07181182,1.186834597,0.2362071603,0.1885250381,0.1692622003,1.263391567,1.057989502,1
0.6301504165,0.4894948305,0.6592526787,3.191761636,9.008614424,0.003721350116,0.001461058931,1.065929734,1.012848293,12.75369438,1.257614503,14.7763531,1.180521638,0.1563619033,0.1092972,0.1282354123,1.852353838,2.4914664,1
0.4130857834,0.5237214491,0.7097775952,0.5738226654,9369008493054,0.002594993298,6.81E-15,1.167014747,1.021079133,19.94993271,1.381675776,13.8523885,1.174785873,0.2205276405,0.0868329517,0.1359810967,1.313880664,2.027735798,1
0.3595907564,0.6497847198,0.9459571283,0.3711045093,14911403276701,0.006776390492,0.005722836434,1.18609342,1.048972864,21.08279452,1.286310006,11.25966063,1.152325182,0.1896710204,0.08764526435,0.2068460865,2.701506499,1.211330483,1
0.592957168,0.6519258994,0.864919005,1.510246797,203580207379,0.002272105805,2.08E-19,1.079378436,1.017684225,13.30875963,1.241707834,11.05541961,1.141001662,0.08303250416,0.1126861382,0.1424461745,1.446635727,1.279524777,1
0.4010046631,0.5203774218,0.6671347555,0.5343990761,1289681389,0.002331033419,3.98E-17,1.175839142,0.9997464835,20.35145618,1.352913858,13.77156818,1.163197791,0.06011895359,0.1128891102,0.1283927695,1.695950245,2.168316401,1
0.7655145372,0.5208163336,0.6537732028,1.53E+15,6421225894,0.002665003724,0.0001929252072,1.010395261,0.9917369761,9.851488593,1.163826608,13.82933941,1.161710379,0.1791343278,0.1057546641,0.1992833547,2.429252895,2.226839868,1
0.7638674275,0.5562905227,0.7228168392,4136174820,192503400837,0.00270147655,0.0003194954793,1.010894461,1.004797545,9.793124636,1.15540806,13.05388714,1.166383546,0.1961765543,0.1283546244,0.1818853989,2.37863453,1.705647903,1
0.7599778653,0.6088703405,1.529704822,9.716350938,0.553705481,0.002421121985,4.67E-10,1.010847148,1.198847043,9.66764277,1.143933552,12.47912531,1.20784419,0.2441267853,0.08441435691,0.1790204788,2.340488445,1.000993699,1
0.735901787,0.54250004,0.7912178183,19.30869848,49.31085557,0.001895404811,6.81E-13,1.022300442,1.046773344,10.11440896,1.154839674,13.68633886,1.185870805,0.2119542734,0.09798704886,0.1386293011,2.192390484,1.757513892,1
0.6141268173,0.6608848436,1.092162724,0.9418423561,1.840926132,0.005499254529,0.003718555274,1.058825456,1.082812923,11.97231861,1.166386082,11.3167084,1.17380066,0.2383674472,0.09749468956,0.179923123,1.535888639,1.046235571,1
0.6100929805,0.544283545,0.6730631544,3.273300453,57.08594055,0.002239410945,6.23E-16,1.0771604,0.9872256308,13.28565369,1.261253225,12.99023339,1.141313967,0.071725874,0.1489335351,0.1210558024,1.603318866,2.046948678,1
0.7419104017,0.5555699661,0.7721115974,22744.73437,4.490343392,0.004462152732,0.003044172713,1.021211906,1.024962383,10.09142655,1.153494548,12.98793769,1.153569839,0.2079533594,0.1224133514,0.1770060041,2.18723684,1.844135666,1
0.565031935,0.5028631779,0.6274420285,68.51516015,3721691118065,0.002694869408,0.0007866115188,1.107334228,0.9902948642,14.74651218,1.289834705,14.2987059,1.170913846,0.2082629851,0.1147593027,0.1735139187,1.278899069,2.361973052,1
0.721985921,0.5948534265,0.7833442953,876801489.6,14138307368,0.002434247554,6.24E-13,1.028912344,1.009637629,10.55828376,1.176715881,12.21326477,1.167231729,0.1529975845,0.2444813426,0.1545793222,2.172060228,1.328262875,1
0.6006557055,0.5787528044,18.10493562,2.83870371,0.1466126685,0.00338754393,0.001927187979,1.081797789,1.91817699,12.73157224,1.201264783,11.55422487,1.153553571,0.07897140689,0.2489455286,0.2525211251,1.423858892,1.260384971,1
0.4867455535,0.3772589634,101.5773188,1.054075525,1.20E-01,0.01556940619,0.01627661368,1.136609595,2.560702231,15.90612535,1.249837073,14.82898346,1.307474526,0.05978231349,0.2909702366,0.3011669083,1.363245042,1.056678614,1
0.7058466656,0.5553170237,0.9172065245,3839522048,700378945604,0.004672448296,0.003233356248,1.036497416,1.092185904,10.97408466,1.201543424,13.97966932,1.231970993,0.1619679469,0.1537291816,0.198757989,2.202476935,1.289872994,1
0.3894927707,0.6009658215,0.8277727621,0.6801898916,5.39E+19,0.02088263033,0.02232545406,1.193206778,1.029522579,22.13958578,1.418056444,12.404115,1.188027551,0.1206137586,0.09781239494,0.132854691,1.728638014,1.153518139,1
0.7641915236,0.5831473767,0.7066974657,10.87351698,3810584385,0.008023493015,0.006654557792,1.007534117,0.9795784687,9.803587381,1.156427341,12.16718754,1.133645866,0.1984751607,0.1393950883,0.2470462677,2.380122224,1.724688566,1
0.5843580802,0.5499075711,0.7173109711,2360.461915,1499484588816,0.02603317201,0.02798228427,1.096435202,1.008244046,14.85195061,1.341863347,13.47891778,1.19405207,0.1875561422,0.1275358854,0.1825729447,1.774483482,1.546170794,1
0.7107845212,0.6888278422,0.9023702375,55423009258164,7.844368152,0.002873066758,0.0001312937483,1.033649539,1.009354774,11.17514495,1.222918358,10.30368114,1.12969041,0.1937735067,0.1729665852,0.1544591138,2.346500628,1.23994641,1
0.3956710026,0.5545365739,2.012512182,0.4582668823,0.3540335751,0.0144600028,0.01471456872,1.175410989,1.300049187,19.78451237,1.292407414,13.65432349,1.226541136,0.1420518853,0.06040430477,0.1843781752,2.10770823,1.219763819,1
0.6500293957,0.5601794811,1.306362498,8.556015695,6.61E-01,0.00294927819,0.000806067865,1.060960014,1.178257794,12.17464766,1.234051744,13.54414414,1.224758566,0.0832933113,0.1005679333,0.1761826449,1.886376118,1.194538244,1
0.4639286429,0.5201582774,0.5865241207,0.547088239,18294265.1,0.004025556177,1.56E-03,1.131085914,0.9508977876,16.8357687,1.270867945,13.40079809,1.129848694,0.1226877534,0.1790015346,0.2442994878,1.378479125,2.492878663,1
0.3647447414,0.6520187497,0.8923601679,0.4852764145,1.06E+15,0.008243524256,0.007161870552,1.200472292,1.027769385,22.6667326,1.386031544,11.23050245,1.163666416,0.0721224736,0.1472094707,0.1299578548,2.260642468,1.098842752,1
0.4253011346,0.5000284877,10.63714899,0.7136666456,0.1683037699,0.01812933348,1.92E-02,1.168470261,1.812109927,18.8453642,1.310551151,14.49266026,1.287941236,0.0658002111,0.1563937425,0.2517754666,1.566332599,1.016550331,1
